,city,hot,num,level_sum
0,万宁,2.4800000000000004,394,10
1,三亚,12.739999999999998,30014,116
2,三明,6.58,998,14
3,三门峡,3.48,244,6
4,上海,40.60000000000001,32092,194
5,上饶,12.579999999999998,3456,36
6,东莞,2.1799999999999997,1250,11
7,东营,0.7,58,1
8,中卫,5.260000000000001,1006,25
9,中山,3.3200000000000003,234,7
10,临夏,3.2199999999999998,74,8
11,临汾,9.32,1217,20
12,临沂,5.94,746,19
13,丹东,6.92,1066,16
14,丽水,1.46,232,6
15,丽江,8.16,8292,29
16,乌兰察布,3.1399999999999997,342,9
17,乌海,0.7,85,5
18,乌鲁木齐,5.96,993,38
19,乐山,4.0,7041,14
20,九江,12.740000000000004,1642,35
21,云林,0.0,78,1
22,云浮,0.0,16,1
23,五家渠市,0.0,0,2
24,五指山,1.0,244,3
25,亳州,1.42,124,4
26,伊春,4.840000000000001,668,17
27,伊犁,8.38,1089,30
28,佛山,1.44,936,11
29,佳木斯,0.72,0,3
30,保亭,0.0,457,8
31,保定,11.08,2480,33
32,保山,3.42,607,9
33,信阳,1.8800000000000001,333,5
34,儋州,0.8,92,3
35,克孜勒苏,0.7,18,1
36,克孜勒苏柯尔克孜,0.0,111,2
37,克拉玛依,3.8,746,6
38,六安,3.6799999999999997,843,18
39,六盘水,0.0,321,8
40,兰州,9.24,518,33
41,兴安盟,2.44,1009,8
42,内蒙古,0.0,54,1
43,凉山州,2.4000000000000004,568,7
44,包头,5.340000000000001,279,15
45,北京,71.08000000000008,67557,195
46,北海,5.359999999999999,4973,22
47,十堰,1.7,2021,13
48,南京,15.599999999999998,6410,40
49,南充,1.74,360,6
50,南宁,8.44,7117,25
51,南平,3.92,2777,15
52,南投,3.0,727,13
53,南昌,6.74,6936,39
54,南通,1.0,574,7
55,南阳,7.080000000000001,734,17
56,博尔塔拉,0.0,32,3
57,厦门,11.659999999999998,12438,56
58,双鸭山,0.0,68,2
59,台东,0.98,404,8
60,台中,0.0,757,14
61,台北,25.519999999999996,2984,54
62,台南,0.7,312,5
63,台州,5.8,336,11
64,合肥,7.42,1269,21
65,吉安,2.44,615,12
66,吉林,0.0,41,1
67,吉林市,8.719999999999999,1106,33
68,吐鲁番,11.12,1570,24
69,吕梁,2.88,384,9
70,吴忠,3.5,128,12
71,周口,1.5,224,4
72,呼伦贝尔,10.48,1703,38
73,呼和浩特,6.4799999999999995,1383,33
74,咸宁,2.92,502,12
75,咸阳,4.58,1130,16
76,哈密,2.44,0,5
77,哈尔滨,14.96,12065,116
78,唐山,4.72,439,14
79,商丘,0.0,16,2
80,商洛,3.04,581,10
81,喀什,5.8999999999999995,857,22
82,嘉义,0.0,356,5
83,嘉兴,4.699999999999999,3916,17
84,嘉峪关,3.52,1252,10
85,四平,4.4,0,9
86,固原,10.14,132,23
87,塔城地区,0.0,0,1
88,大兴安岭,1.0,140,2
89,大同,4.78,1083,14
90,大庆,2.1399999999999997,688,17
91,大理,14.639999999999999,5795,32
92,大连,13.0,10737,60
93,天水,7.7,425,16
94,天津,31.29999999999999,9182,195
95,太原,8.54,1640,34
96,威海,6.9799999999999995,1483,15
97,娄底,2.88,269,8
98,孝感,2.8200000000000003,257,6
99,宁德,4.92,429,11
100,宁波,14.72,3986,39
101,安庆,3.66,1152,16
102,安康,3.0,651,12
103,安阳,6.78,577,13
104,安顺,6.800000000000001,2616,20
105,定安,0.0,116,2
106,定西,4.26,263,12
107,宜兰,0.0,508,7
108,宜宾,2.42,232,3
109,宜昌,8.94,2494,27
110,宜春,3.3,1541,18
111,宝鸡,3.9399999999999995,1254,22
112,宣城,9.540000000000001,927,26
113,宿州,1.0,166,3
114,宿迁,1.0,1730,3
115,屏东,0.0,1357,21
116,屯昌,0.0,83,2
117,山南,7.000000000000001,486,21
118,山西,0.0,60,1
119,岳阳,2.44,874,9
120,崇左,3.1799999999999997,670,8
121,巴中,1.0,58,3
122,巴彦淖尔,0.72,289,5
123,巴音郭楞,8.78,735,17
124,常州,4.220000000000001,4226,19
125,常德,3.16,513,13
126,平凉,5.319999999999999,675,17
127,平顶山,4.359999999999999,603,14
128,广元,2.66,692,10
129,广安,2.54,165,5
130,广州,14.120000000000003,11946,49
131,庆阳,2.26,97,7
132,廊坊,1.0,144,5
133,延安,6.68,1759,19
134,延边,7.5200000000000005,2762,59
135,开封,9.440000000000001,1190,17
136,张家口,4.56,304,15
137,张家界,12.219999999999999,13798,30
138,张掖,6.040000000000001,3633,22
139,彰化,0.0,143,2
140,徐州,0.0,74,2
141,德宏,2.16,594,7
142,德州,0.0,146,4
143,德阳,1.0,280,6
144,忻州,3.8999999999999995,1452,21
145,怀化,2.34,220,5
146,恩施,5.02,2288,27
147,惠州,3.8000000000000007,930,11
148,成都,18.52,43081,79
149,扬州,5.58,1989,10
150,承德,7.54,953,18
151,抚州,0.74,293,6
152,抚顺,3.4999999999999996,716,13
153,拉萨,17.099999999999994,3668,56
154,揭阳,0.0,78,1
155,攀枝花,0.0,67,1
156,文山,1.0,178,3
157,文昌,0.72,60,3
158,新乡,3.3200000000000003,436,9
159,新余,1.0,72,3
160,新北,1.7800000000000002,617,13
161,新竹,0.0,122,2
162,无锡,11.360000000000001,5678,26
163,日喀则,11.479999999999999,245,26
164,日照,5.6000000000000005,426,9
165,昆明,8.02,5354,44
166,昌吉,4.54,1147,16
167,昌都,6.800000000000001,94,22
168,昭通,1.0,34,2
169,晋中,9.32,7455,30
170,晋城,6.24,554,13
171,普洱,1.7,52,4
172,景德镇,1.74,674,9
173,曲靖,2.5999999999999996,268,3
174,朔州,1.0,30,1
175,朝阳,2.44,320,8
176,本溪,6.9799999999999995,2204,17
177,来宾,0.74,141,2
178,杭州,17.439999999999994,12656,56
179,松原,1.0,34,3
180,林芝,9.779999999999998,1601,43
181,果洛藏族自治州,4.16,0,7
182,枣庄,2.68,752,9
183,柳州,1.4,475,9
184,株洲,1.0,766,8
185,桂林,26.71999999999999,11095,77
186,桃园,0.0,134,2
187,梅州,4.859999999999999,274,9
188,梧州,1.74,150,3
189,楚雄,4.02,80,5
190,榆林,0.8,2,1
191,武威,5.48,108,10
192,武汉,13.32,5926,53
193,毕节,2.0,584,8
194,永州,2.72,280,6
195,汉中,4.34,386,12
196,汕头,0.0,68,2
197,江门,3.46,454,8
198,池州,7.44,1277,18
199,沈阳,6.72,2973,34
200,沧州,1.0,94,4
201,河池,1.54,553,13
202,河源,1.8199999999999998,146,4
203,泉州,4.18,652,20
204,泰安,2.54,1490,10
205,泰州,1.0,164,4
206,泸州,0.0,112,2
207,洛阳,14.399999999999997,2240,35
208,济南,9.899999999999999,3124,24
209,济宁,5.319999999999999,490,11
210,济源,2.66,130,4
211,海东地区,7.4399999999999995,323,20
212,海北藏族自治州,2.84,176,24
213,海南,0.0,0,1
214,海南藏族自治州,3.9400000000000004,1238,32
215,海口,3.0999999999999996,2823,22
216,海西蒙古族藏族自治州,9.819999999999999,1234,30
217,淄博,2.84,225,6
218,淡水,0.0,172,2
219,淮南,0.72,268,3
220,淮安,1.44,114,4
221,深圳,9.08,6525,31
222,清远,6.739999999999999,2428,19
223,温州,4.48,552,13
224,渭南,3.8,2497,12
225,湖州,4.6,2118,12
226,湘潭,4.0200000000000005,428,9
227,湘西,7.340000000000001,1267,28
228,湛江,0.0,58,2
229,滁州,4.68,607,11
230,滨州,1.0,146,3
231,漯河,1.0,26,2
232,漳州,7.240000000000001,2172,25
233,潍坊,5.72,651,19
234,潮州,0.82,82,4
235,澄迈,0.0,142,2
236,澳门,46.76000000000002,5997,188
237,濮阳,0.0,4,1
238,烟台,7.680000000000001,2157,20
239,焦作,5.279999999999999,849,9
240,牡丹江,4.760000000000001,761,16
241,玉林,3.46,329,8
242,玉树藏族自治州,6.08,0,13
243,玉溪,2.5,120,4
244,珠海,7.180000000000001,5124,17
245,琼中,0.0,34,1
246,琼海,5.380000000000001,787,15
247,甘南,4.68,246,9
248,甘孜州,1.9,4077,8
249,白城,1.98,46,5
250,白山,1.7,754,25
251,白银,2.44,102,4
252,百色,4.96,265,8
253,盐城,0.0,257,4
254,盘锦,0.7,1090,6
255,眉山,1.0,227,2
256,石嘴山,5.5200000000000005,188,13
257,石家庄,12.34,1714,44
258,石河子,0.0,0,3
259,神农架,3.24,326,5
260,福州,7.4399999999999995,2874,35
261,秦皇岛,13.320000000000002,4283,34
262,红河,4.18,600,12
263,绍兴,4.94,590,11
264,绵阳,4.72,1291,19
265,聊城,0.7,115,3
266,肇庆,2.56,398,5
267,自贡,2.64,350,4
268,舟山,3.12,2130,8
269,芜湖,2.48,4568,10
270,花莲,3.6399999999999997,1389,22
271,苏州,19.239999999999995,10341,59
272,苗栗,0.0,131,2
273,茂名,2.2800000000000002,270,6
274,荆州,3.12,321,8
275,荆门,5.32,431,10
276,莆田,2.62,300,5
277,莱芜,0.0,102,2
278,菏泽,0.0,18,1
279,萍乡,1.0,992,9
280,营口,0.96,310,9
281,葫芦岛,4.22,260,7
282,蚌埠,0.0,114,2
283,衡阳,3.3,778,7
284,衢州,0.8800000000000001,30,1
285,襄阳,3.26,1032,14
286,西双版纳,9.899999999999999,2693,24
287,西宁,17.819999999999997,4095,67
288,西安,24.75999999999999,27298,92
289,许昌,3.44,935,7
290,贵港,1.72,140,2
291,贵阳,11.1,2750,44
292,贺州,3.2,952,6
293,赣州,2.84,4289,23
294,赤峰,8.06,616,21
295,辽阳,0.0,117,3
296,达州,0.0,196,2
297,运城,7.9399999999999995,1075,25
298,连云港,4.18,360,7
299,迪庆,5.86,2014,17
300,通化,3.8,295,12
301,通辽,1.0,138,8
302,遂宁,0.92,18,1
303,遵义,13.26,1683,37
304,邢台,4.859999999999999,190,11
305,那曲,5.98,460,15
306,邯郸,6.119999999999999,649,17
307,邵阳,1.0,68,2
308,郑州,9.48,14060,42
309,郴州,5.64,688,14
310,鄂尔多斯,6.96,1277,27
311,酒泉,10.499999999999998,4125,33
312,重庆,37.32,17915,195
313,金华,5.34,4550,23
314,金昌,0.0,76,2
315,钦州,1.74,83,3
316,铁岭,0.0,89,2
317,铜仁,2.48,1978,22
318,铜川,1.0,6,1
319,铜陵,1.0,39,1
320,银川,22.65999999999999,2659,122
321,锡林郭勒盟,0.0,160,9
322,锦州,4.98,249,9
323,镇江,5.02,546,10
324,长春,7.4,1682,48
325,长沙,11.539999999999997,5572,57
326,长治,7.4799999999999995,961,19
327,阜新,1.8599999999999999,133,4
328,阜阳,0.92,256,4
329,防城港,1.82,226,9
330,阳江,1.6600000000000001,438,3
331,阳泉,2.56,348,8
332,阿克苏地区,4.819999999999999,691,16
333,阿勒泰,4.6,1851,8
334,阿坝藏族羌族自治州,9.48,1658,19
335,阿拉善盟,0.0,645,16
336,阿拉尔,0.0,0,1
337,阿里,7.920000000000001,506,12
338,陇南,6.76,36,12
339,陵水,2.0,992,7
340,随州,0.98,159,5
341,雅安,1.62,630,5
342,青岛,9.08,7392,40
343,鞍山,3.58,297,7
344,韶关,2.5,520,5
345,香港,33.95999999999998,14166,185
346,马鞍山,1.92,209,3
347,驻马店,0.7,50,5
348,高雄,3.0999999999999996,1357,22
349,鸡西,0.0,235,4
350,鹤壁,0.0,38,3
351,鹤岗,0.0,0,1
352,鹰潭,0.7,478,5
353,黄冈,5.0600000000000005,894,11
354,黄南藏族自治州,1.8800000000000001,74,2
355,黄山,17.459999999999997,19750,55
356,黄石,1.74,98,4
357,黑河,1.7,207,7
358,黔东南,8.68,1880,24
359,黔南,6.04,1964,23
360,黔西南,3.8599999999999994,648,9
361,齐齐哈尔,2.56,358,10
362,龙岩,4.52,472,14
